Player,Initial window,Window factor,Average evaluations,Min evaluations,Q1 evaluations,Median evaluations,Q3 evaluations,Maxevaluations,Average time (ms),Min time,Q1 time,Median time,Q3 time,Max time
MAsT_IEV_MI_5,500,1.5,373347,234678,328464,368524,411528,738373,102.499,69.528,92.213,100.673,110.939,181.443
MAsT_IEV_MI_5,500,1.75,369208,227084,325089,363177,404858,709540,101.312,71.834,91.191,99.289,108.999,183.214
MAsT_IEV_MI_5,500,2.0,367391,234443,327660,361715,401078,711250,100.850,71.065,91.461,99.351,108.334,166.229
MAsT_IEV_MI_5,500,2.25,368254,235638,321640,359468,402348,739243,100.896,72.157,90.846,99.677,108.191,182.546
MAsT_IEV_MI_5,500,2.5,369188,246210,323140,361225,405642,723553,101.109,71.518,91.125,99.332,109.383,176.615
MAsT_IEV_MI_5,500,2.75,365138,221831,321446,359636,397841,654274,99.953,65.965,90.538,98.657,108.430,175.513
MAsT_IEV_MI_5,500,3.0,370459,232514,327110,361811,403266,811559,100.747,69.085,91.392,99.587,107.537,185.489
MAsT_IEV_MI_5,500,3.5,371464,212153,327586,363930,408423,768111,101.301,64.069,91.681,99.146,109.381,180.808
MAsT_IEV_MI_5,500,4.0,367970,238397,323402,359211,406751,589694,100.341,72.221,91.018,98.602,108.119,145.865
MAsT_IEV_MI_5,500,4.5,369049,239865,326334,366345,407085,629723,100.371,69.869,90.507,99.909,109.126,158.989
MAsT_IEV_MI_5,500,5.0,368663,243775,324854,362708,402658,655406,100.581,69.418,91.239,98.883,107.995,174.243
MAsT_IEV_MI_5,500,6.0,377590,241949,332395,370743,414483,724776,101.905,73.203,91.658,100.405,109.458,164.857
MAsT_IEV_MI_5,500,7.0,374581,240507,327319,366827,410382,745905,101.335,68.998,91.666,99.620,109.493,178.487
MAsT_IEV_MI_5,500,8.0,374279,246094,330856,366240,409050,629046,101.098,69.387,91.412,98.959,109.728,155.806
MAsT_IEV_MI_5,500,9.0,374149,220703,331448,368043,409963,672646,101.033,68.992,91.475,99.447,108.870,165.879
MAsT_IEV_MI_5,500,10.0,375073,227470,330360,365987,411310,755952,101.399,70.365,91.717,99.586,109.368,174.692
MAsT_IEV_MI_5,500,20.0,370592,227595,327157,362363,405092,640462,100.309,71.231,90.844,98.754,107.958,160.536
MAsT_IEV_MI_5,500,50.0,390832,240328,342668,381101,427517,880237,103.662,68.502,94.105,102.068,111.699,202.785
MAsT_IEV_MI_5,500,100.0,390542,251070,342532,381465,430030,915286,103.693,68.327,93.743,102.478,111.968,185.437
MAsT_IEV_MI_5,500,200.0,388555,236325,342924,379946,424923,741234,103.402,69.818,94.003,101.439,110.589,182.775
MAsT_IEV_MI_5,500,500.0,389017,247807,340264,377607,432208,773445,103.389,72.446,93.150,101.233,111.501,170.011
MAsT_IEV_MI_5,500,1000.0,388134,238750,340053,377040,426209,701688,104.847,68.675,94.667,103.104,113.126,169.438
MAsT_IEV_MI_5,1000,1.0,392122,234158,338093,382335,435853,847181,105.886,69.470,94.197,104.291,115.115,192.951
MAsT_IEV_MI_5,1000,1.1,379678,241847,332765,375005,419516,669507,103.203,69.926,92.177,102.205,111.744,163.798
MAsT_IEV_MI_5,1000,1.2,371607,236745,327315,367165,411331,635100,101.474,70.258,91.307,100.503,109.817,168.359
MAsT_IEV_MI_5,1000,1.5,370704,233745,328497,364213,406037,647785,100.321,70.650,90.361,99.583,107.947,175.721
MAsT_IEV_MI_5,1000,1.75,369144,216796,326404,363376,404763,580262,100.517,64.975,90.710,99.201,108.367,155.530
MAsT_IEV_MI_5,1000,2.0,370063,224545,322766,361142,405231,653723,100.481,65.713,90.154,98.928,108.903,168.791
MAsT_IEV_MI_5,1000,2.25,370438,230948,324797,364307,406280,755275,100.143,68.616,90.622,99.177,108.044,178.456
MAsT_IEV_MI_5,1000,2.5,369263,226229,324722,364405,406389,579695,100.174,70.575,90.836,99.054,108.232,151.513
MAsT_IEV_MI_5,1000,2.75,370065,240455,328938,361498,405077,688504,99.980,71.274,90.670,98.149,107.379,168.863
MAsT_IEV_MI_5,1000,3.0,366064,219319,324846,358366,402760,659809,99.517,65.984,90.761,98.144,106.765,171.525
MAsT_IEV_MI_5,1000,3.5,369714,236129,328180,363097,404984,718602,99.706,69.931,90.619,98.128,107.725,161.572
MAsT_IEV_MI_5,1000,4.0,371216,230295,328979,364170,406764,613036,100.389,68.892,91.160,99.475,108.349,154.061
MAsT_IEV_MI_5,1000,4.5,372293,236977,327606,367782,405937,746809,100.433,69.166,90.388,98.757,108.809,179.988
MAsT_IEV_MI_5,1000,5.0,371902,217133,326138,365609,405286,810724,100.432,68.684,90.606,98.662,108.700,163.100
MAsT_IEV_MI_5,1000,6.0,369869,246954,324935,361887,407003,653567,99.923,67.272,90.037,98.302,107.873,157.415
MAsT_IEV_MI_5,1000,7.0,371245,236120,326855,363101,409838,760930,100.304,71.961,90.916,97.897,108.199,164.598
